Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category
APPLE	US	au.com.bauermedia.topgear.subs.onemth	 	TopGear  Subscriptions_200_30	 	IAY	1	3.18	05/01/2014	05/01/2014	AUD	AU	AUD	741822464	4.99	 	SKU_Bauer_TopGear	Renewal	1 Month	Lifestyle
APPLE	US	au.com.acpmagazines.myeremporium.subscriptions.free	 	Myer Free Subscription	 	IAC	10	0	05/01/2014	05/01/2014	AUD	AU	AUD	481565913	0	 	ACP03	 	 	Lifestyle
APPLE	US	au.com.acpmagazines.gourmettraveller.subscriptions.2months	 	GT Paid Subscription_300_60	 	IAY	16	5.72	05/01/2014	05/01/2014	AUD	AU	AUD	471832469	8.99	 	ACPGT001	Renewal	2 Months	Food & Drink
APPLE	US	au.com.bauermedia.ellemag.subs.1year	 	ELLE Subscriptions_600_365	 	IAY	1	0	05/01/2014	05/01/2014	AUD	AU	AUD	697996988	0	 	SKU_Bauer_ElleMag	New	1 Year	Lifestyle
APPLE	US	SKU_Bauer_WeightWatchers	PBL MEDIA PTY LTD.	Weight Watchers Magazine Australia	1.0.12	7T	19	0	05/01/2014	05/01/2014	NZD	NZ	NZD	646610584	0	 	 	 	 	Health & Fitness
APPLE	US	MAG0132	PBL MEDIA PTY LTD.	Cleo Magazine Australia	1.3.8	1F	1	0	05/01/2014	05/01/2014	GBP	GB	GBP	813461450	0	 	 	 	 	Lifestyle
APPLE	US	MAG0536	PBL MEDIA PTY LTD.	Woman's Day	1.3.5	7F	47	0	05/01/2014	05/01/2014	AUD	AU	AUD	547520978	0	 	 	 	 	Entertainment
APPLE	US	ACPGT001	PBL MEDIA PTY LTD.	Gourmet Traveller	1.10.0	7T	50	0	05/01/2014	05/01/2014	AUD	AU	AUD	374405599	0	 	 	 	 	Food & Drink
APPLE	US	ACPGT001	PBL MEDIA PTY LTD.	Gourmet Traveller	1.10.0	1T	2	0	05/01/2014	05/01/2014	USD	US	USD	374405599	0	 	 	 	 	Food & Drink
APPLE	US	ACPGT001	PBL MEDIA PTY LTD.	Gourmet Traveller	1.10.0	1T	1	0	05/01/2014	05/01/2014	USD	CL	USD	374405599	0	 	 	 	 	Food & Drink
APPLE	US	MAG0355	PBL MEDIA PTY LTD.	MOTOR Magazine Australia	1.3.5	1F	2	0	05/01/2014	05/01/2014	NZD	NZ	NZD	639976688	0	 	 	 	 	Lifestyle
APPLE	US	REDDOSMARTER01	PBL MEDIA PTY LTD.	Smarter Business Ideas	1.3.25	1T	2	0	05/01/2014	05/01/2014	USD	US	USD	567645200	0	 	 	 	 	Business
APPLE	US	com.magshop.ns.wdw.1417.1	 	Woman's Day 1417	 	IA1	6	1.9	05/01/2014	05/01/2014	AUD	AU	AUD	797269510	2.99	 	MAG0536	 	 	Entertainment
APPLE	US	au.com.acpmagazines.awwrecipes.thebigbookofbeautifulbiscuits	 	The Big Book of Beautiful Biscuits	 	IA1	1	6.36	05/01/2014	05/01/2014	AUD	AU	AUD	655405256	9.99	 	ACP_AWW_Recipes	 	 	Food & Drink
APPLE	US	com.magshop.ns.rol.months.6.1	 	Rolling Stone Australia Subscription_500_180	 	IAY	1	19.08	05/01/2014	05/01/2014	AUD	AU	AUD	642291343	29.99	 	MAG0420	Renewal	6 Months	Music
APPLE	US	com.magshop.okm.1419.1	 	OK! 1419	 	IA1	4	2.41	05/01/2014	05/01/2014	AUD	AU	AUD	797853868	3.79	 	MAG0001	 	 	Lifestyle
